day,strain,species,treat,repl,density,size,phycoerythrin,chlorophyll,phycocyanin
1,2383,VIII,T,2,11229.7039144181,3.20923032752034,2.56098443607331,4.96932763449798,6.43887564968717
2,2383,VIII,T,2,18879.0509385302,2.9897989330902,2.48704474733629,4.72991693322266,6.23094124456246
3,2383,VIII,T,2,37032.408586989,2.77496599970239,2.50932504356674,4.82000594870639,6.29549293481046
4,2383,VIII,T,2,77853.2001272516,2.77507120270895,2.47244232639144,4.62591732145706,6.15914344742126
5,2383,VIII,T,2,111673.711473678,2.75153097715471,2.37200179715637,4.33734657664244,5.90839270242981
6,2383,VIII,T,2,139907.615239733,2.43506036094688,2.33738490801069,4.14897410076154,5.71103717536369
7,2383,VIII,T,2,153493.930596099,2.68891479060844,2.32453391103131,4.03700979074883,5.60885149398861
8,2383,VIII,T,2,148009.2225133,2.62000045765472,2.31143134464969,3.95133840973549,5.46992343046971
9,2383,VIII,T,2,143770.423109245,2.68103347535055,2.29504886385657,3.88132703701628,5.3795474250551
0,2383,VIII,T,3,4317.60208276864,2.86995040253935,2.51427965598151,4.56014595395343,6.00854847380992
1,2383,VIII,T,3,9487.27086543138,3.21967259318309,2.56247572874999,4.95443458393406,6.4281240156187
2,2383,VIII,T,3,17096.2428425045,2.94903022376876,2.48495830248458,4.6822804233787,6.18174603242336
3,2383,VIII,T,3,37708.3575295294,2.70276636579017,2.49660099524472,4.75766231939839,6.23325816670436
4,2383,VIII,T,3,76689.6057030595,2.87757500919688,2.471555115303,4.58606118092693,6.11479696683057
5,2383,VIII,T,3,110609.374794395,2.73939119712855,2.38762014941127,4.33909432724073,5.90048165301707
6,2383,VIII,T,3,156577.140393214,2.51539037623805,2.34982365242306,4.14651934467616,5.6930302847378504
7,2383,VIII,T,3,152526.450645173,2.7054295354709,2.29881324568012,3.99405562759273,5.54242807963052
8,2383,VIII,T,3,175150.509661106,2.6530730295553,2.30749286872735,3.9302178867758,5.42709242913843
9,2383,VIII,T,3,155646.694190485,2.71413804800278,2.2794005153932,3.88720360252487,5.36846995492627
0,2434,VIII,A,1,3997.60501206114,3.23560162119875,2.36345681624371,4.15236638564924,5.18581218867363
1,2434,VIII,A,1,4050.27160420369,3.09221972723324,2.464263757212,4.39089700514838,5.57601384832175
2,2434,VIII,A,1,4081.01012010588,3.17124040509003,2.48665015477996,4.45734982709869,5.66991916361132
3,2434,VIII,A,1,3762.03082089385,3.26171269112304,2.488049425438,4.5686023563509,5.81520163519423
4,2434,VIII,A,1,3820.22442725436,3.27491417150813,2.50817896394862,4.60586534676868,5.7879826589957
5,2434,VIII,A,1,3995.07483369669,3.29857090757125,2.48192653924883,4.54853989284605,5.63406292797943
6,2434,VIII,A,1,4197.91305580661,3.26581750784789,2.43135148913193,4.49062759444458,5.52681704773093
7,2434,VIII,A,1,4220.63034392352,3.31959609831714,2.44891730609679,4.4833340723634,5.40139852173267
8,2434,VIII,A,1,4179.87506539892,3.30722397726486,2.4257942072406,4.40957173314899,5.26023038789532
9,2434,VIII,A,1,4006.54233613961,3.36886330008613,2.38565700165785,4.33529150990737,5.1852475770723
0,2434,VIII,A,2,4053.44100108371,3.19474825279923,2.3771353419937302,4.18021409388758,5.22538985060828
1,2434,VIII,A,2,4120.26400891489,3.04009740480578,2.4494763755439,4.39329745776032,5.58059905547869
2,2434,VIII,A,2,4100.83778594547,3.14220923944704,2.47630251752345,4.47361063317416,5.70186911980806
3,2434,VIII,A,2,3945.24452434529,3.19175601137312,2.50764821737014,4.57477633123767,5.82666995283399
4,2434,VIII,A,2,4035.86667798093,3.27237271690855,2.53403469602768,4.73733526705276,5.9987488419171
5,2434,VIII,A,2,4262.60249427698,3.34213795168425,2.54466754718042,4.84912041480986,6.10712885147971
6,2434,VIII,A,2,3877.25244502189,3.35700579448159,2.57047473090443,4.9015864581894,6.14786936798896
7,2434,VIII,A,2,3924.82709136909,3.50285291385071,2.63208199992539,5.20199788450283,6.49530974412906
8,2434,VIII,A,2,4483.47426098171,3.47823502583881,2.62540988182395,5.16097141124085,6.47124383613473
9,2434,VIII,A,2,4551.78887903969,3.51532813395773,2.61773621009526,5.14355357018063,6.47502067128442
0,2434,VIII,A,3,4184.39534714543,3.19230970435062,2.34585457244176,4.11533983869187,5.14989382831769
1,2434,VIII,A,3,4055.74038821547,3.0720974541547,2.44382317743827,4.4174296423773,5.58798349628794
2,2434,VIII,A,3,4035.02915024524,3.13686306863153,2.4698442500929,4.46459604139659,5.66769374000493
3,2434,VIII,A,3,3872.62456018021,3.21218421456687,2.50974479818563,4.59587356494973,5.84086702911457
4,2434,VIII,A,3,3739.30179255729,3.29543792950215,2.52939904943439,4.72942156075861,5.97769989146904
5,2434,VIII,A,3,3705.18338178635,3.33093164521743,2.57401299295279,4.85215353599628,6.10670136397861
6,2434,VIII,A,3,3729.42244203044,3.40219236763073,2.58598583039431,4.94668440502142,6.18743323261091
7,2434,VIII,A,3,3803.16581317589,3.47132824787072,2.62987043405729,5.17705981580079,6.46748023149046
8,2434,VIII,A,3,4392.48660056048,3.46505856433764,2.63921237791599,5.18398182136702,6.48383296706044
9,2434,VIII,A,3,4418.08170790233,3.50844502289326,2.6014110457544,5.1188652059134,6.44895872204871
0,2434,VIII,AT,1,4172.30924620197,3.13873993776274,2.388190496322,4.20131662295399,5.30212408095503
1,2434,VIII,AT,1,4021.15222414257,3.08596773572304,2.49754601470266,4.50028794237009,5.69665861443305
2,2434,VIII,AT,1,3986.94783638328,3.18629988984406,2.50389261333794,4.60501405570443,5.84603948057883
3,2434,VIII,AT,1,3822.46715384783,3.29364602737759,2.518160637958,4.60526050693615,5.71084831471112
4,2434,VIII,AT,1,4222.86391951803,3.31207065673748,2.46441326921236,4.59784326938336,5.51273683781481
5,2434,VIII,AT,1,4072.84254174278,3.34812858795629,2.4198998005074,4.4424958108861,5.27308804554466
6,2434,VIII,AT,1,4350.22449329593,3.32762888806941,2.37847001534739,4.32933205556193,5.16293096681096
7,2434,VIII,AT,1,4278.21617912861,3.36062165086605,2.32278939420145,4.19393153026688,4.92451199171687
8,2434,VIII,AT,1,4255.95600688592,3.37874766234405,2.33861254147013,4.15752280660982,4.86534182370563
9,2434,VIII,AT,1,4257.73794589431,3.40837597788591,2.31690610113279,4.15633665237518,4.85534977982622
0,2434,VIII,AT,2,4194.63749179587,3.11402004583524,2.36301602371476,4.17755123495472,5.26769181815884
1,2434,VIII,AT,2,4149.89460336166,3.10756314190605,2.48619432965405,4.52648125581913,5.72041931053319
2,2434,VIII,AT,2,4316.44147525043,3.19613983681252,2.52331963586822,4.63121184553428,5.88040459368889
3,2434,VIII,AT,2,3946.03606651188,3.31889761059034,2.5096063530312,4.63801346655606,5.75337838586641
4,2434,VIII,AT,2,4425.3657550768,3.34724462799563,2.48493669200043,4.62601890022412,5.55554038773895
5,2434,VIII,AT,2,4463.63851283507,3.30617768819675,2.42103017115229,4.43709831472558,5.28966820889156
6,2434,VIII,AT,2,4478.13594184824,3.33563221191879,2.39017848313311,4.31444757467776,5.15601291874947
7,2434,VIII,AT,2,4381.09839947147,3.32855359950739,2.35455101018063,4.2369818754993,4.99845029349622
8,2434,VIII,AT,2,4705.29667232483,3.39625867772364,2.30651271978872,4.10774761252927,4.86753162808883
9,2434,VIII,AT,2,4215.22371385249,3.39851857883682,2.29722381814182,4.11169972787704,4.85450346873253
0,2434,VIII,AT,3,4341.79294601766,3.13182595470914,2.37588676559786,4.22851767842445,5.30471749073197
1,2434,VIII,AT,3,4023.76456712512,3.14779752457871,2.49859807178272,4.55444399019732,5.73921382138221
2,2434,VIII,AT,3,3866.48342150891,3.23131439779934,2.52525117482,4.63300399534081,5.86782822793317
3,2434,VIII,AT,3,3922.75607084399,3.29413250566509,2.52414204215022,4.69049827946777,5.82248225873117
4,2434,VIII,AT,3,4226.6966543638,3.40225124054603,2.49403729778947,4.6501078179096,5.5898139906302
5,2434,VIII,AT,3,4115.02280015995,3.37607954597542,2.41772933765793,4.44409184605246,5.28894651962384
6,2434,VIII,AT,3,4514.73373497443,3.39241471125846,2.38432921277532,4.29517064468505,5.1286849784568
7,2434,VIII,AT,3,4664.79880964317,3.37639211113007,2.29200166334014,4.15500271487575,4.88888654443195
8,2434,VIII,AT,3,4560.12394855588,3.29479689300457,2.2967927036954,4.04762641082323,4.77284689049668
9,2434,VIII,AT,3,4600.69327997511,3.33474238896704,2.25799239813819,4.06732414039597,4.79134347207742
0,2434,VIII,C,1,3806.51124651714,3.16898981096416,2.52731868690204,4.7003288838031,5.99256253950883
1,2434,VIII,C,1,10403.9535985209,3.17948332265632,2.54564655556369,4.97219852648924,6.3604157443625
2,2434,VIII,C,1,14037.7256164244,3.22385164309219,2.55427834168006,4.98157518844219,6.38432979860903
3,2434,VIII,C,1,20965.618506469,3.25610052131846,2.57088411711254,5.05946382334868,6.45265224133325
4,2434,VIII,C,1,36018.6098182547,3.31882118476698,2.55071091209251,5.00148506811535,6.37693943590873
5,2434,VIII,C,1,70715.2492558536,3.25802923657803,2.44916400935746,4.64429982196903,5.99285731552107
6,2434,VIII,C,1,93621.4406361333,3.17698642277136,2.37878569845407,4.45042254157698,5.79414814797988
7,2434,VIII,C,1,95507.7856361147,3.13762410487712,2.32806211634862,4.13051010024701,5.42646668248454
8,2434,VIII,C,1,112014.690837852,3.13018069570236,2.28469588075449,4.00568392595131,5.15175538701253
9,2434,VIII,C,1,120133.111457295,3.09609380088227,2.20444905210196,3.83819619868542,4.8143615470236
0,2434,VIII,C,2,4007.55668358002,3.15170396288688,2.52439598428048,4.69457101758465,5.97730175299377
1,2434,VIII,C,2,10220.4078166072,3.21978456107305,2.5682438718934,4.99170886408916,6.38647732730693
2,2434,VIII,C,2,13853.0650138091,3.22188102885663,2.53514062644876,4.98192802269904,6.3861776673360104
3,2434,VIII,C,2,24289.3079715989,3.30252105174898,2.54356415663797,5.01725713311993,6.40517213310892
4,2434,VIII,C,2,38852.9213743839,3.32440768602003,2.53943002426845,4.95675950563221,6.33131072315567
5,2434,VIII,C,2,82021.8769012233,3.25967892552655,2.44751705437924,4.6297177599747,5.97021696724715
6,2434,VIII,C,2,93561.8725988387,3.15066606371942,2.37078051624813,4.33344816703402,5.63982892267238
7,2434,VIII,C,2,98453.7548555955,3.146967727442,2.25984430573243,3.95370030588352,5.1640831091015
8,2434,VIII,C,2,104821.063381631,3.15953139575937,2.19395062994386,3.77892216437515,4.80870393056807
9,2434,VIII,C,2,71799.3245838044,3.23334973317574,2.18123774900708,3.7276344575317,4.61833675416676
0,2434,VIII,C,3,4024.78258094841,3.19095508462504,2.49837629278353,4.68247857717485,5.96591137766397
1,2434,VIII,C,3,10731.2538671739,3.15076333647487,2.54493234163223,4.98754294045543,6.38144865469087
2,2434,VIII,C,3,13653.1109910995,3.20023271562889,2.54785980775804,5.00946157273593,6.4201110134447
3,2434,VIII,C,3,21534.4895300918,3.30365313089175,2.55857341003387,5.03657536867024,6.41266895683873
4,2434,VIII,C,3,36067.8445270171,3.29736269947711,2.56266351846637,5.02279545586247,6.40179546834123
5,2434,VIII,C,3,68859.8535446441,3.21219048701736,2.48125009547772,4.72320388118148,6.07032782337972
6,2434,VIII,C,3,90726.0670069959,3.13694748257023,2.41368977462482,4.51930662816453,5.88683421025012
7,2434,VIII,C,3,85953.1763565469,3.09605503418023,2.31760388925707,4.14077639718407,5.49781023319218
8,2434,VIII,C,3,98138.409490727,3.13000587599849,2.31118205531999,4.02944472587251,5.23540264607598
9,2434,VIII,C,3,101129.482266979,3.09023850782991,2.20472970490214,3.85665665120985,4.86327540310032
0,2434,VIII,T,1,4125.34411253039,3.09645762358196,2.52327965206421,4.80517754392091,6.17708190679796
1,2434,VIII,T,1,10440.9933037995,3.28941139831858,2.55807111431367,5.02576710370501,6.42123978152712
2,2434,VIII,T,1,15758.4383587364,3.22682774219048,2.53375140004606,4.93725219865838,6.32965867141029
3,2434,VIII,T,1,26853.7949253504,3.26718028454884,2.57630598535509,5.1296419352852904,6.54247414391695
4,2434,VIII,T,1,37534.1573070894,3.39877737498344,2.55927835922398,5.00919893450542,6.40149006987606
5,2434,VIII,T,1,82362.5600160847,3.23933418587047,2.4390410051355502,4.59878191176122,5.95322670283641
6,2434,VIII,T,1,116135.91737247,3.08153766932975,2.40135860949783,4.39507664311972,5.68669820482274
7,2434,VIII,T,1,109713.336386729,3.13867228176783,2.3111719139512,4.01976781240597,5.19718285507888
8,2434,VIII,T,1,123758.237804229,3.08496295610126,2.22122483304696,3.83924834658017,4.83441945529332
9,2434,VIII,T,1,88274.3840919673,3.155285556293,2.16542728136574,3.73493648566614,4.58825567296622
0,2434,VIII,T,2,4126.56611171568,3.11526594908183,2.53600897113572,4.7945281334356,6.17151879971984
1,2434,VIII,T,2,11739.6513057944,3.33798570106366,2.54170211162324,4.92273061675022,6.31109252816848
2,2434,VIII,T,2,17993.9975972213,3.26278359276577,2.50590780391338,4.86440342827143,6.26436092602782
3,2434,VIII,T,2,27740.6157861231,3.23705110216738,2.57391916791233,5.07024851384746,6.47897263799554
4,2434,VIII,T,2,53899.2399327382,3.25665352473794,2.48440821070586,4.7088401771431,6.09165733248417
5,2434,VIII,T,2,78216.9348522937,3.26855655129407,2.34601877082357,4.24869261113745,5.57734585465364
6,2434,VIII,T,2,112007.543767213,3.0447026714938,2.3099607052127,4.10072702216495,5.27351587459138
7,2434,VIII,T,2,108674.029921444,3.11671222261703,2.21386285436541,3.67727764869026,4.79408192708749
8,2434,VIII,T,2,102384.425184343,3.08291355738203,2.09495587546857,3.52698140017791,4.45260935226246
9,2434,VIII,T,2,77817.0156596971,3.14548152806621,2.03860819060671,3.46013560356304,4.27035091095872
0,2434,VIII,T,3,3979.48742669608,3.07766710834035,2.54463129481754,4.75965099700519,6.11987908763341
1,2434,VIII,T,3,11498.3297310468,3.34054431609473,2.52125545825722,4.89772937243088,6.26911319344964
2,2434,VIII,T,3,17619.1894409971,3.25053447710077,2.50818713648043,4.82044613626412,6.20489356799585
3,2434,VIII,T,3,31207.8418633962,3.31289447869042,2.58547225194971,5.06670759307823,6.47702457570569
4,2434,VIII,T,3,60491.0007948301,3.31237546196766,2.48167011224314,4.77053322111538,6.14551434115326
5,2434,VIII,T,3,91651.8474715788,3.28140929275011,2.359372131447,4.24141947666796,5.57146872005536
6,2434,VIII,T,3,105219.41189871,3.07192817006769,2.25772561341971,4.02919756876395,5.15902671135742
7,2434,VIII,T,3,118858.465179444,3.21510592813633,2.17624989069566,3.62567684518252,4.71881292346441
8,2434,VIII,T,3,122947.47178896,3.13391213599605,2.08179626783383,3.4611944910302,4.36634247448456
9,2434,VIII,T,3,82457.926342131,3.18223720639112,1.99602991615187,3.39040199330831,4.17493318341124
0,2375,V,A,1,4308.63631206186,3.54635234197581,5.23203489397942,5.17557363932518,4.98807163158551
1,2375,V,A,1,4442.51094435093,3.64500403356837,5.60328875890753,5.59543406031315,5.32859310269805
2,2375,V,A,1,4298.03906592962,3.6788952493357,5.53118115074179,5.6519910731462,5.37924095555043
3,2375,V,A,1,4322.05902027314,3.89825281177958,5.94503339912348,5.85223666318562,5.53758358080027
4,2375,V,A,1,4609.33456128648,4.00282357454666,6.14616933724194,5.94049108627349,5.60484224006977
5,2375,V,A,1,5367.35070077916,3.94511090873674,6.14611407878241,5.86287985066358,5.51004735078809
6,2375,V,A,1,8417.03099703,3.97901415800137,6.37143475937986,5.9144066691229,5.56377683687853
7,2375,V,A,1,8329.4804984457,4.21115268020132,6.30292277145797,5.87692939550159,5.51803104204844
8,2375,V,A,1,7851.49744673591,4.37269895690444,6.23843710811351,5.859712372373,5.4983087347273
9,2375,V,A,1,7526.65413506772,4.53397650835831,6.46994794149727,6.01498238159459,5.67147383824126
0,2375,V,A,2,4389.15152056835,3.53489596538296,5.23059484439379,5.19435755977133,5.0122568121995
1,2375,V,A,2,4523.55808488036,3.63936437422412,5.63633913653766,5.60367075488749,5.33789771519333
2,2375,V,A,2,4440.42858796999,3.67795839297403,5.5958578977146,5.64908353642575,5.3711104276253
3,2375,V,A,2,4618.60934341472,3.8900918903656,6.01127968065059,5.88510717728494,5.56140828680828
4,2375,V,A,2,4675.48473782495,3.99951284512815,6.21371734605153,5.95234030265381,5.60822173448899
5,2375,V,A,2,5636.73904816127,3.93447044240708,6.19754383589813,5.84382366580886,5.49644008619921
6,2375,V,A,2,8688.29988657778,3.99462804094808,6.39750211655862,5.90057988251908,5.56174929008858
7,2375,V,A,2,9728.3983512804,4.05866596628055,6.4231072579365,5.98941347303702,5.60987286928405
8,2375,V,A,2,13421.3651187387,3.79451807412539,6.22119386609502,5.81761346873735,5.42689669382
9,2375,V,A,2,14304.8987563992,3.8693679514908,6.3181436815133,5.90192378913462,5.50252341971986
0,2375,V,A,3,4204.43135652384,3.57053199362687,5.23298462978294,5.20863012001673,5.02918216957849
1,2375,V,A,3,4345.7693475574,3.5999868689722,5.59544699274659,5.5826588465018,5.31760976973184
2,2375,V,A,3,4196.70751868782,3.65018590650919,5.50981058475768,5.61179386937826,5.34072059731976
