species,strain,treat,day,density,aspect_ratio,size,speed,linearity
Tetra,Tetra_1,A,16,3833.01204819277,1.61449330357143,1.932231265881845,25.2745959821429,0.449701764674175
Tetra,Tetra_1,A,17.1,3193.32530120482,1.60370981754996,1.9234990169847037,21.3604344048653,0.512968348962373
Tetra,Tetra_1,A,20,3227.55421686747,1.54890354734682,1.9640674991386167,17.8802755790091,0.487554399913207
Tetra,Tetra_1,A,22,2064.65060240964,1.47836527180289,1.8651414641180617,16.6093859992178,0.414895748141352
Tetra,Tetra_1,A,29,2800.90361445783,1.50993249463025,1.8782383138849565,16.9501779687021,0.37963953519054
Tetra,Tetra_1,A,31,2784.34939759036,1.49352135637431,1.919379737137635,24.4259863058363,0.360747215173506
Tetra,Tetra_1,A,36,1251.55421686747,1.4981455064194,1.8707719638497013,21.9003708987161,0.322998261684418
Tetra,Tetra_1,AT,1.1,128.313253012048,1.34972972972973,2.376193257807,20.5636936936937,0.371265219241071
Tetra,Tetra_1,AT,1.8,1841.56626506024,1.37547526403558,2.3143505658409826,26.346025569761,0.411183026968463
Tetra,Tetra_1,AT,2.8,5396.93975903615,1.60083452098179,2.199791254946916,26.037296912114,0.406011630532982
Tetra,Tetra_1,AT,3.1,4992.56626506024,1.57130523801399,2.1554274961054865,34.105507592561,0.502500862250854
Tetra,Tetra_1,AT,3.8,5998.77108433735,1.61104226705091,2.2003998807873484,35.4630547550432,0.414096438898422
Tetra,Tetra_1,AT,4.1,5293.80722891566,1.67454219948849,2.169368763704498,34.7092276214834,0.365173970653342
Tetra,Tetra_1,AT,4.8,5823,1.68524484536082,2.1405269273674645,34.0743771477663,0.420018102130974
Tetra,Tetra_1,AT,5.1,5766.50602409639,1.659424,2.1299098618374424,22.1061546666667,0.326910656856262
Tetra,Tetra_1,AT,5.8,6086.31325301205,1.52583978152025,2.109048829767193,37.2352981338188,0.454807626142611
Tetra,Tetra_1,AT,6.1,4197.36144578313,1.66355645706558,2.141150432446152,28.9296348884381,0.349556120151118
Tetra,Tetra_1,AT,6.8,4094.85542168675,1.62228795438346,1.9895145132513308,36.1478332145403,0.444725979537735
Tetra,Tetra_1,AT,9,2449.74698795181,1.56064485687323,1.7988615741901586,17.8154545454545,0.444309991913545
Tetra,Tetra_1,AT,12.1,3897.39759036145,1.56925333333333,1.8114281013230042,20.4106066666667,0.49282236049814
Tetra,Tetra_1,AT,13,4574.36144578313,1.55056550951848,1.9019653279936215,26.1024841358716,0.457125699586784
Tetra,Tetra_1,AT,15.1,2973.79518072289,1.49563894523327,1.7976129881123921,14.4698869892785,0.337000816461812
Tetra,Tetra_1,AT,16,3334.12048192771,1.49778623878162,1.8910992400992748,15.5257247756323,0.376972963450826
Tetra,Tetra_1,AT,17.1,3170.87951807229,1.5392779177162,1.8499386348976596,19.8698544640358,0.544297325818011
Tetra,Tetra_1,AT,20,2145.03614457831,1.50515283842795,1.8585149893881037,15.7758277094085,0.461409758728552
Tetra,Tetra_1,AT,29,1939.18072289157,1.49929897864438,1.852687937660263,17.345886722377,0.338300163077999
Tetra,Tetra_1,AT,31,2057.3734939759,1.44075813953488,1.9244533537233508,22.7188604651163,0.324608001582629
Tetra,Tetra_1,AT,36,2396.14457831325,1.50115286391828,1.8602517171495385,21.8683947464429,0.34561555382547
Tetra,Tetra_2,C,1.1,148.144578313253,1.342421875,2.1980470057404378,12.021953125,0.228557815872156
Tetra,Tetra_2,C,1.8,1863.86746987952,1.42801146131805,2.1098474544584045,14.419787965616,0.285983246105435
Tetra,Tetra_2,C,2.1,4668.79518072289,1.55091971642077,2.0464727565049192,24.7486300057482,0.229720798190299
Tetra,Tetra_2,C,2.8,2408.44578313253,1.6488583599574,1.7793712332162808,26.4335931842386,0.446563541532275
Tetra,Tetra_2,C,3.8,8806.55421686747,1.56306781829814,2.097562991969664,29.8036404350608,0.405577065695016
